questid2,filedate,age2,mr30est
33855153,10/09/2020,4,91
22575153,10/09/2020,5,91
88785153,10/09/2020,12,91
54996153,10/09/2020,6,91
19206153,10/09/2020,12,93
73806153,10/09/2020,14,99
55556153,10/09/2020,17,91
32856153,10/09/2020,11,91
22097153,10/09/2020,9,99
83277153,10/09/2020,10,91
22998153,10/09/2020,10,99
25408153,10/09/2020,14,91
83608153,10/09/2020,7,91
89008153,10/09/2020,15,93
64318153,10/09/2020,3,91
38728153,10/09/2020,1,91
75548153,10/09/2020,11,91
24648153,10/09/2020,7,91
73748153,10/09/2020,11,91
43368153,10/09/2020,11,93
71568153,10/09/2020,15,93
15739153,10/09/2020,15,93
23649153,10/09/2020,15,93
59859153,10/09/2020,15,91
12369153,10/09/2020,6,93
58769153,10/09/2020,8,91
59479153,10/09/2020,11,91
49289153,10/09/2020,16,99
61890153,10/09/2020,15,93
65630153,10/09/2020,10,91
51740153,10/09/2020,13,93
25770153,10/09/2020,14,91
28280153,10/09/2020,5,93
72691153,10/09/2020,9,93
83301153,10/09/2020,10,93
59701153,10/09/2020,15,91
68421153,10/09/2020,4,91
53731153,10/09/2020,16,99
91931153,10/09/2020,9,99
21451153,10/09/2020,11,93
42161153,10/09/2020,13,93
59271153,10/09/2020,11,99
46192153,10/09/2020,2,91
71212153,10/09/2020,3,91
89412153,10/09/2020,17,93
15812153,10/09/2020,15,93
65432153,10/09/2020,7,91
12682153,10/09/2020,10,93
78893153,10/09/2020,5,91
24003153,10/09/2020,4,91
19643153,10/09/2020,11,93
67273153,10/09/2020,14,91
41683153,10/09/2020,14,93
75094153,10/09/2020,8,99
22914153,10/09/2020,5,91
41014153,10/09/2020,13,91
25424153,10/09/2020,14,91
95754153,10/09/2020,15,99
67174153,10/09/2020,15,93
77255253,10/09/2020,14,99
37826253,10/09/2020,16,93
55836253,10/09/2020,15,93
31756253,10/09/2020,6,99
23317253,10/09/2020,12,91
35737253,10/09/2020,17,91
37247253,10/09/2020,15,91
75447253,10/09/2020,8,93
63267253,10/09/2020,17,93
52367253,10/09/2020,2,91
37867253,10/09/2020,17,91
83077253,10/09/2020,16,93
23698253,10/09/2020,15,91
58198253,10/09/2020,15,91
18908253,10/09/2020,13,91
43218253,10/09/2020,3,91
89618253,10/09/2020,17,91
15638253,10/09/2020,8,91
90658253,10/09/2020,3,91
71178253,10/09/2020,15,91
91988253,10/09/2020,9,91
21799253,10/09/2020,2,91
50559253,10/09/2020,16,91
47859253,10/09/2020,15,93
71269253,10/09/2020,15,99
68569253,10/09/2020,6,91
77669253,10/09/2020,2,91
85290253,10/09/2020,15,93
31690253,10/09/2020,15,91
41540253,10/09/2020,3,91
88840253,10/09/2020,3,91
91350253,10/09/2020,15,93
71970253,10/09/2020,15,93
64480253,10/09/2020,8,93
77180253,10/09/2020,15,93
94291253,10/09/2020,12,93
29311253,10/09/2020,15,93
71921253,10/09/2020,12,93
29121253,10/09/2020,15,93
21731253,10/09/2020,17,91
83861253,10/09/2020,9,93
32961253,10/09/2020,9,91
82771253,10/09/2020,11,99
49881253,10/09/2020,12,93
23952253,10/09/2020,16,93
31962253,10/09/2020,16,91
85372253,10/09/2020,14,99
69972253,10/09/2020,15,93
19782253,10/09/2020,1,91
97503253,10/09/2020,17,91
83523253,10/09/2020,12,91
27643253,10/09/2020,11,99
83043253,10/09/2020,15,93
35463253,10/09/2020,17,93
23283253,10/09/2020,2,91
39683253,10/09/2020,17,91
15083253,10/09/2020,15,91
46644253,10/09/2020,1,91
25554253,10/09/2020,13,93
66884253,10/09/2020,14,91
19195353,10/09/2020,11,93
69715353,10/09/2020,15,93
15735353,10/09/2020,15,91
35685353,10/09/2020,15,91
89616353,10/09/2020,15,93
35826353,10/09/2020,15,93
17436353,10/09/2020,13,99
51746353,10/09/2020,12,93
89756353,10/09/2020,15,91
36056353,10/09/2020,5,91
35156353,10/09/2020,17,93
15966353,10/09/2020,4,91
89376353,10/09/2020,15,93
63976353,10/09/2020,16,93
75107353,10/09/2020,15,91
57717353,10/09/2020,17,93
53117353,10/09/2020,15,93
69327353,10/09/2020,15,91
49847353,10/09/2020,17,91
55057353,10/09/2020,2,91
75487353,10/09/2020,15,91
26198353,10/09/2020,3,91
67808353,10/09/2020,14,91
84108353,10/09/2020,5,93
87618353,10/09/2020,15,93
86338353,10/09/2020,3,99
99038353,10/09/2020,15,93
22258353,10/09/2020,7,91
51788353,10/09/2020,15,99
39988353,10/09/2020,9,99
51599353,10/09/2020,17,91
20699353,10/09/2020,7,93
65719353,10/09/2020,15,99
43729353,10/09/2020,13,93
59939353,10/09/2020,16,93
63249353,10/09/2020,16,91
66759353,10/09/2020,9,91
57089353,10/09/2020,17,91
42390353,10/09/2020,4,91
67890353,10/09/2020,11,99
23000353,10/09/2020,14,99
63430353,10/09/2020,16,93
49830353,10/09/2020,13,93
57791353,10/09/2020,15,91
59301353,10/09/2020,16,91
33711353,10/09/2020,13,99
35271353,10/09/2020,15,93
94512353,10/09/2020,6,98
41622353,10/09/2020,7,91
32423353,10/09/2020,15,99
19723353,10/09/2020,11,99
59533353,10/09/2020,16,91
25883353,10/09/2020,14,99
72183353,10/09/2020,7,91
38054353,10/09/2020,3,91
23364353,10/09/2020,5,91
89574353,10/09/2020,15,91
48805453,10/09/2020,4,91
99515453,10/09/2020,3,91
87525453,10/09/2020,14,91
42025453,10/09/2020,6,93
43445453,10/09/2020,15,93
95865453,10/09/2020,9,91
66575453,10/09/2020,9,91
85675453,10/09/2020,15,91
17806453,10/09/2020,13,91
18846453,10/09/2020,4,98
92256453,10/09/2020,3,91
91356453,10/09/2020,15,91
19556453,10/09/2020,7,91
45956453,10/09/2020,10,91
51786453,10/09/2020,15,93
89986453,10/09/2020,15,93
43397453,10/09/2020,15,91
25197453,10/09/2020,14,91
23727453,10/09/2020,17,93
76237453,10/09/2020,5,91
